ROUND 1
TEAM	SCORE	DEATHS	DISTANCE
AludjunkRa	75	7	211,849999999998
Advantage or Handicap?	40	8	293,75
pooLi	18	10	119,499999999997
FREE PIZZA	9	12	218,399999999996
Need More Dollar	7	4	210,599999999995
Kockak	6	8	249,399999999994
#GOTO	5	7	1,8
IOError	3	7	0
A jo, a rossz es az onosz	3	11	33,7999999999999
CodeForMoney	2	6	307
Csemege Uborkak	2	10	114,842000000001
Neo Code	0	1	42,2000000000001
K.A.D.	0	2	20,8
BITs Please	0	7	3,6
SzaboZs			
