ROUND 1
TEAM	SCORE	DEATHS	DISTANCE
CodeForMoney	0	0	154
Kockak	0	0	121,000000000001
Need More Dollar	0	0	115,4
Advantage or Handicap?	0	0	108,5
FREE PIZZA	0	0	55,0000000000002
BITs Please	0	0	54,4000000000002
pooLi	0	0	32,7000000000002
Csemege Uborkak	0	0	23,418
Neo Code	0	0	23,2
K.A.D.	0	0	10,4
AludjunkRa	0	0	4,1
A jo, a rossz es az onosz	0	0	3,2
#GOTO	0	0	1,9
IOError	0	0	0
SzaboZs			
